human,name_hu,alias_hu
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,Timothy John Berners-Lee
http://www.wikidata.org/entity/Q400,Jenna Jameson,Jenna Marie Massoli
http://www.wikidata.org/entity/Q1413,Nero római császár,Lucius Domitius Ahenobarbus
http://www.wikidata.org/entity/Q1413,Nero római császár,Nero
http://www.wikidata.org/entity/Q1413,Nero római császár,Nero Claudius Caesar Augustus Germanicus
http://www.wikidata.org/entity/Q1253,Pan Gimun,Ban Ki Mun
http://www.wikidata.org/entity/Q1253,Pan Gimun,Ban Ki-moon
http://www.wikidata.org/entity/Q15869,Freddie Mercury,Farrokh Bulsara
http://www.wikidata.org/entity/Q3128,Graham Hill,Norman Graham Hill
http://www.wikidata.org/entity/Q1225,Bruce Springsteen,Bruce Frederick Joseph Springsteen
http://www.wikidata.org/entity/Q1225,Bruce Springsteen,The Boss
http://www.wikidata.org/entity/Q9582,Gerald Ford,Gerald Rudolph Ford
http://www.wikidata.org/entity/Q1411,Claudius római császár,Tiberius Claudius Caesar Augustus Germanicus
http://www.wikidata.org/entity/Q1411,Claudius római császár,Tiberius Claudius Drusus Nero Germanicus
http://www.wikidata.org/entity/Q2737,Louis de Funès,Louis de Funes
http://www.wikidata.org/entity/Q2737,Louis de Funès,Louis Germain David de Funès de Galarza
http://www.wikidata.org/entity/Q1254,Kofi Annan,Kofi Atta Annan
http://www.wikidata.org/entity/Q207,George W. Bush,George Walker Bush
http://www.wikidata.org/entity/Q1043,Carl von Linné,Carolus Linnaeus
http://www.wikidata.org/entity/Q1043,Carl von Linné,Linnaeus
http://www.wikidata.org/entity/Q9588,Richard Nixon,Richard Milhous Nixon
http://www.wikidata.org/entity/Q989,II. János Pál pápa,Giovanni Paolo
http://www.wikidata.org/entity/Q989,II. János Pál pápa,Ioannes Paulus PP. II
http://www.wikidata.org/entity/Q989,II. János Pál pápa,Jan Paweł II
http://www.wikidata.org/entity/Q989,II. János Pál pápa,Karol Józef Wojtyła
http://www.wikidata.org/entity/Q989,II. János Pál pápa,Szent II. János Pál pápa
http://www.wikidata.org/entity/Q1414,Galba római császár,Galba
http://www.wikidata.org/entity/Q1414,Galba római császár,Servius Galba Imperator Caesar Augustus
http://www.wikidata.org/entity/Q1414,Galba római császár,Servius Sulpicius Galba
http://www.wikidata.org/entity/Q407,Linda Lovelace,Linda Susan Boreman
http://www.wikidata.org/entity/Q3816,George Sand,"Amandine Aurore Lucile Dupin, Baronne Dudevant"
http://www.wikidata.org/entity/Q1064,Alessandro Manzoni,Alessandro Francesco Tommaso Manzoni
http://www.wikidata.org/entity/Q410,Carl Sagan,Carl Edward Sagan
http://www.wikidata.org/entity/Q409,Bob Marley,Robert Nesta Marley
http://www.wikidata.org/entity/Q409,Bob Marley,Tuff Gong
http://www.wikidata.org/entity/Q2808,Elton John,Reginald Kenneth Dwight
http://www.wikidata.org/entity/Q1067,Dante Alighieri,Durante Alighieri
http://www.wikidata.org/entity/Q885,Józef Piłsudski,Józef Klemens Piłsudski
http://www.wikidata.org/entity/Q440,Salvador Allende,Salvador Allende Gossens
http://www.wikidata.org/entity/Q440,Salvador Allende,Salvador Guillermo Allende Gossens
http://www.wikidata.org/entity/Q1047,Dzsaváharlál Nehru,Panditzsi
http://www.wikidata.org/entity/Q9640,Lyndon B. Johnson,LBJ
http://www.wikidata.org/entity/Q9640,Lyndon B. Johnson,Lyndon Baines Johnson
http://www.wikidata.org/entity/Q892,J. R. R. Tolkien,John Ronald Reuel Tolkien
http://www.wikidata.org/entity/Q892,J. R. R. Tolkien,Tolkien
http://www.wikidata.org/entity/Q4042,Cee Lo Green,Cee-Lo Green
http://www.wikidata.org/entity/Q4042,Cee Lo Green,CeeLo Green
http://www.wikidata.org/entity/Q303,Elvis Presley,Elvis Aaron Presley
http://www.wikidata.org/entity/Q3112,Phil Hill,Ifj. Philip Toll Hill
http://www.wikidata.org/entity/Q255,Ludwig van Beethoven,Lodewijk van Beethoven
http://www.wikidata.org/entity/Q306,Sebastián Piñera,Miguel Juan Sebastián Piñera Echenique
http://www.wikidata.org/entity/Q320,Michelle Bachelet,Verónica Michelle Bachelet Jeria
http://www.wikidata.org/entity/Q1322,José Manuel Balmaceda,José Manuel Emiliano Balmaceda Fernández
http://www.wikidata.org/entity/Q1323,Domingo Santa María,Domingo Santa María González
http://www.wikidata.org/entity/Q296,Claude Monet,Claude Oscar Monet
http://www.wikidata.org/entity/Q1425,Traianus római császár,Imperator Caesar Nerva Traianus Augustus
http://www.wikidata.org/entity/Q1425,Traianus római császár,Marcus Ulpius Traianus
http://www.wikidata.org/entity/Q1425,Traianus római császár,Traianus
http://www.wikidata.org/entity/Q1425,Traianus római császár,Trajanus
http://www.wikidata.org/entity/Q15902,Amy MacDonald,Amy Elizabeth Macdonald
http://www.wikidata.org/entity/Q4271,Mark Hoppus,Mark Allan Hoppus
http://www.wikidata.org/entity/Q4271,Mark Hoppus,Markus Allan Hoppus
http://www.wikidata.org/entity/Q1328,Manuel Montt Torres,Manuel Francisco Antonio Julián Montt Torres
http://www.wikidata.org/entity/Q1329,Manuel Bulnes,Manuel Bulnes Prieto
http://www.wikidata.org/entity/Q1330,José Joaquín Prieto,José Joaquín Prieto Vial
http://www.wikidata.org/entity/Q4223,Julian McMahon,Julian Dana William McMahon
http://www.wikidata.org/entity/Q297,Diego Velázquez,Diego Rodriguez de Silva y Velázquez
http://www.wikidata.org/entity/Q4295,Pierre Abélard,Peter Abaelard
http://www.wikidata.org/entity/Q4295,Pierre Abélard,Petrus Abaelardus
